UserId	Rating	Title
17	2.5	Sherlock Holmes: A Game of Shadows
17	4	Gravity
17	5	Inception
17	3	Thor
17	2.5	Gone Girl
17	3	Star Trek Into Darkness
17	5	Argo
17	2.5	Iron Man 2
17	0.5	Life of Pi
17	4.5	Toy Story 3
17	5	Star Wars: Episode IV - A New Hope
17	3	Scott Pilgrim vs. the World
18	5	The Shawshank Redemption
18	5	Harry Potter and the Deathly Hallows: Part 1
18	4	Star Wars: Episode IV - A New Hope
18	3.5	The Hobbit: An Unexpected Journey
18	4	The Lord of the Rings: The Fellowship of the Ring
18	5	Harry Potter and the Deathly Hallows: Part 2
18	5	Forrest Gump
18	3	Limitless
18	5	Inception
18	3	The Wolf of Wall Street
18	5	The Matrix
18	3	The Book of Eli
18	2	Alice in Wonderland
18	3.5	Guardians of the Galaxy
18	4	Thor
18	4	Star Wars: Episode VI - Return of the Jedi
18	5	The Avengers
18	5	Toy Story
18	4	Terminator 2: Judgment Day
18	4	Tangled
18	3	Pulp Fiction
18	3	The Hunger Games: Catching Fire
18	4	How to Train Your Dragon
18	4.5	Sherlock Holmes: A Game of Shadows
18	5	Mission Impossible: The Ghost Protocol
18	4	Toy Story 3
19	2.5	The Hunger Games: Catching Fire
19	4	Guardians of the Galaxy
19	3	How to Train Your Dragon
19	2.5	The Hunger Games
19	2.5	The Hobbit: The Desolation of Smaug
19	3.5	Inception
19	4.5	Star Wars: Episode IV - A New Hope
19	4.5	Star Wars: Episode VI - Return of the Jedi
19	1.5	The Social Network
19	3.5	The Dark Knight
19	3.5	The Dark Knight Rises
20	4	Gone Girl
20	5	Raiders of the Lost Ark
20	2.5	Thor
20	2.5	Fight Club
20	2.5	Silver Linings Playbook
20	4.5	Captain America: The Winter Soldier
20	4	The Hunger Games: Catching Fire
20	4	How to Train Your Dragon
20	4.5	Interstellar
20	4	The Cabin in the Woods
20	3.5	Toy Story 3
20	4.5	Jurassic Park
20	3.5	Iron Man 3
20	4.5	The Lord of the Rings: The Fellowship of the Ring
20	4	The Wolf of Wall Street
20	3	The Social Network
20	3.5	Toy Story
20	3.5	The Avengers
20	4.5	Mission Impossible: The Ghost Protocol
20	4.5	Skyfall
20	4	The Hobbit: An Unexpected Journey
20	4.5	Apollo 13
20	3.5	Django Unchained
20	5	Star Wars: Episode IV - A New Hope
20	2	The Adjustment Bureau
20	2.5	Limitless
20	3.5	TRON: Legacy
20	4	The Silence of the Lambs
20	5	Tangled
20	4	Big Hero 6
20	3	Harry Potter and the Deathly Hallows: Part 1
20	3	The Hunger Games
20	3.5	Life of Pi
20	3.5	Captain America: The First Avenger
20	2	The Perks of Being a Wallflower
20	4	Braveheart
20	3	Despicable Me
20	5	Edge of Tomorrow
20	5	Mad Max: Fury Road
20	3	Harry Potter and the Deathly Hallows: Part 2
20	4	X-Men: Days of Future Past
20	4.5	Guardians of the Galaxy
20	4	The Shawshank Redemption
20	3.5	Pulp Fiction
21	4.5	The Cabin in the Woods
21	3	Terminator 2: Judgment Day
21	4	Despicable Me
21	4.5	Toy Story
21	5	The Dark Knight
21	4	Kick-Ass
21	4.5	Harry Potter and the Deathly Hallows: Part 1
21	5	The Shawshank Redemption
21	3.5	Shutter Island
21	4	The Girl with the Dragon Tattoo
21	3.5	The Avengers
21	4.5	The Imitation Game
21	2.5	The Amazing Spider-Man
21	3.5	Raiders of the Lost Ark
21	3	The Social Network
21	4.5	Cloud Atlas
21	5	Toy Story 3
21	5	True Grit
21	5	The Silence of the Lambs
21	4.5	Star Wars: Episode V - The Empire Strikes Back
21	5	Fight Club
21	4.5	The Lord of the Rings: The Fellowship of the Ring
21	4.5	Moonrise Kingdom
21	5	Pulp Fiction
21	4.5	The Intouchables
21	5	Harry Potter and the Deathly Hallows: Part 2
21	3.5	RED
21	3.5	Crazy, Stupid, Love
21	4	Jurassic Park
21	4.5	Rise of the Planet of the Apes
21	5	The Grand Budapest Hotel
21	4.5	Skyfall
21	3.5	Inception
21	3	Iron Man 3
21	4	Big Hero 6
21	4	Mission Impossible: The Ghost Protocol
21	4.5	The Matrix
21	4	Star Wars: Episode IV - A New Hope
21	4.5	Star Wars: Episode VI - Return of the Jedi
21	3.5	Apollo 13
22	4	X-Men: Days of Future Past
22	5	Captain America: The First Avenger
22	4	Captain America: The Winter Soldier
22	4	Jurassic Park
22	4	Thor
22	5	The Dark Knight Rises
22	3.5	Toy Story
22	4.5	Skyfall
22	5	Despicable Me
22	3	The Hunger Games
22	4	Mission Impossible: The Ghost Protocol
22	3	Rise of the Planet of the Apes
22	4.5	Iron Man 3
22	5	Guardians of the Galaxy
22	2.5	Mad Max: Fury Road
22	5	Big Hero 6
22	5	The Avengers
22	5	The Grand Budapest Hotel
22	3	Life of Pi
23	4	Cloud Atlas
23	3.5	Jurassic Park
23	4	Apollo 13
23	3.5	Life of Pi
23	4	Easy A
23	3.5	Alice in Wonderland
23	3	Mad Max: Fury Road
23	3.5	Guardians of the Galaxy
23	4	Wreck-It Ralph
23	4.5	The Perks of Being a Wallflower
23	4.5	The Hobbit: An Unexpected Journey
23	4	Iron Man 3
23	4	The Hunger Games
23	4	The Usual Suspects
23	3.5	Raiders of the Lost Ark
23	4.5	The Wolf of Wall Street
23	4.5	The Dark Knight Rises
23	4	Toy Story 3
23	4.5	Rise of the Planet of the Apes
23	4.5	Despicable Me
23	4.5	X-Men: Days of Future Past
23	4	Captain America: The First Avenger
